origin,dest,count
Alaska,Texas,1950
Alabama,Texas,9683
Arkansas,Texas,16572
Arizona,Texas,17752
California,Texas,32136
Colorado,Texas,31664
Connecticut,Texas,2413
DistrictOfColumbia,Texas,1401
Delaware,Texas,948
Florida,Texas,43255
Georgia,Texas,18703
Hawaii,Texas,2263
Iowa,Texas,3929
Idaho,Texas,3625
Illinois,Texas,14236
Indiana,Texas,7595
Kansas,Texas,7958
Kentucky,Texas,8232
Louisiana,Texas,18313
Massachusetts,Texas,4840
Maryland,Texas,6791
Maine,Texas,1747
Michigan,Texas,10051
Minnesota,Texas,5384
Missouri,Texas,13142
Mississippi,Texas,5970
Montana,Texas,2325
NorthCarolina,Texas,17380
NorthDakota,Texas,1002
Nebraska,Texas,3078
NewHampshire,Texas,1426
NewJersey,Texas,4447
NewMexico,Texas,12314
Nevada,Texas,6302
NewYork,Texas,10239
Ohio,Texas,10711
Oklahoma,Texas,26132
Oregon,Texas,7204
Pennsylvania,Texas,9132
RhodeIsland,Texas,739
SouthCarolina,Texas,8755
SouthDakota,Texas,1615
Tennessee,Texas,16401
Texas,Alaska,2568
Texas,Alabama,8398
Texas,Arkansas,13566
Texas,Arizona,20981
Texas,California,66051
Texas,Colorado,27290
Texas,Connecticut,4550
Texas,DistrictOfColumbia,1192
Texas,Delaware,1329
Texas,Florida,44594
Texas,Georgia,20696
Texas,Hawaii,3352
Texas,Iowa,6006
Texas,Idaho,2329
Texas,Illinois,34304
Texas,Indiana,11861
Texas,Kansas,10476
Texas,Kentucky,6049
Texas,Louisiana,24983
Texas,Massachusetts,7108
Texas,Maryland,10907
Texas,Maine,1184
Texas,Michigan,14593
Texas,Minnesota,6548
Texas,Missouri,14330
Texas,Mississippi,7406
Texas,Montana,1688
Texas,NorthCarolina,15386
Texas,NorthDakota,1380
Texas,Nebraska,4000
Texas,NewHampshire,1386
Texas,NewJersey,12390
Texas,NewMexico,13330
Texas,Nevada,9144
Texas,NewYork,23180
Texas,Ohio,15737
Texas,Oklahoma,20896
Texas,Oregon,10963
Texas,Pennsylvania,13437
Texas,RhodeIsland,964
Texas,SouthCarolina,8103
Texas,SouthDakota,1575
Texas,Tennessee,12560
Texas,Utah,4888
Texas,Virginia,19162
Texas,Vermont,585
Texas,Washington,19643
Texas,Wisconsin,9556
Texas,WestVirginia,1687
Texas,Wyoming,1250
Texas,all_markets,595541
Utah,Texas,6783
Virginia,Texas,14267
Vermont,Texas,745
Washington,Texas,14965
Wisconsin,Texas,5953
WestVirginia,Texas,1310
Wyoming,Texas,1542
