origin,dest,count
Alaska,Alabama,314
Alaska,Arkansas,177
Alaska,Arizona,879
Alaska,California,1202
Alaska,Colorado,926
Alaska,Connecticut,83
Alaska,DistrictOfColumbia,29
Alaska,Delaware,47
Alaska,Florida,1195
Alaska,Georgia,588
Alaska,Hawaii,250
Alaska,Iowa,102
Alaska,Idaho,348
Alaska,Illinois,364
Alaska,Indiana,271
Alaska,Kansas,225
Alaska,Kentucky,197
Alaska,Louisiana,185
Alaska,Massachusetts,154
Alaska,Maryland,224
Alaska,Maine,82
Alaska,Michigan,551
Alaska,Minnesota,282
Alaska,Missouri,320
Alaska,Mississippi,119
Alaska,Montana,294
Alaska,NorthCarolina,620
Alaska,NorthDakota,114
Alaska,Nebraska,114
Alaska,NewHampshire,51
Alaska,NewJersey,131
Alaska,NewMexico,209
Alaska,Nevada,375
Alaska,NewYork,362
Alaska,Ohio,400
Alaska,Oklahoma,301
Alaska,Oregon,1248
Alaska,Pennsylvania,379
Alaska,RhodeIsland,36
Alaska,SouthCarolina,346
Alaska,SouthDakota,125
Alaska,Tennessee,342
Alaska,Texas,1950
Alaska,Utah,316
Alaska,Virginia,606
Alaska,Vermont,54
Alaska,Washington,1885
Alaska,Wisconsin,397
Alaska,WestVirginia,42
Alaska,Wyoming,126
Alabama,Alaska,417
Alabama,Arkansas,1740
Alabama,Arizona,1860
Alabama,California,4210
Alabama,Colorado,2739
Alabama,Connecticut,572
Alabama,DistrictOfColumbia,153
Alabama,Delaware,256
Alabama,Florida,22181
Alabama,Georgia,23833
Alabama,Hawaii,342
Alabama,Iowa,849
Alabama,Idaho,216
Alabama,Illinois,4890
Alabama,Indiana,3283
Alabama,Kansas,961
Alabama,Kentucky,3096
Alabama,Louisiana,3402
Alabama,Massachusetts,789
Alabama,Maryland,1969
Alabama,Maine,245
Alabama,Michigan,3454
Alabama,Minnesota,545
Alabama,Missouri,2364
Alabama,Mississippi,7150
Alabama,Montana,220
Alabama,NorthCarolina,4730
Alabama,NorthDakota,161
Alabama,Nebraska,355
Alabama,NewHampshire,275
Alabama,NewJersey,1198
Alabama,NewMexico,534
Alabama,Nevada,799
Alabama,NewYork,2505
Alabama,Ohio,3596
Alabama,Oklahoma,1071
Alabama,Oregon,834
Alabama,Pennsylvania,2128
Alabama,RhodeIsland,159
Alabama,SouthCarolina,3577
Alabama,SouthDakota,198
Alabama,Tennessee,11798
Alabama,Texas,9683
Alabama,Utah,413
Alabama,Virginia,4591
Alabama,Vermont,86
Alabama,Washington,1681
Alabama,Wisconsin,1446
Alabama,WestVirginia,556
Alabama,Wyoming,142
Arkansas,Alaska,246
Arkansas,Alabama,1260
Arkansas,Arizona,2283
Arkansas,California,4950
Arkansas,Colorado,3061
Arkansas,Connecticut,244
Arkansas,DistrictOfColumbia,64
Arkansas,Delaware,88
Arkansas,Florida,4650
Arkansas,Georgia,2128
Arkansas,Hawaii,160
Arkansas,Iowa,1164
Arkansas,Idaho,373
Arkansas,Illinois,4397
Arkansas,Indiana,1446
Arkansas,Kansas,2180
Arkansas,Kentucky,859
Arkansas,Louisiana,3295
Arkansas,Massachusetts,315
Arkansas,Maryland,514
Arkansas,Maine,121
Arkansas,Michigan,1506
Arkansas,Minnesota,748
Arkansas,Missouri,7318
Arkansas,Mississippi,2312
Arkansas,Montana,199
Arkansas,NorthCarolina,1420
Arkansas,NorthDakota,123
Arkansas,Nebraska,637
Arkansas,NewHampshire,95
Arkansas,NewJersey,513
Arkansas,NewMexico,625
Arkansas,Nevada,869
Arkansas,NewYork,943
Arkansas,Ohio,1529
Arkansas,Oklahoma,5012
Arkansas,Oregon,1116
Arkansas,Pennsylvania,982
Arkansas,RhodeIsland,75
Arkansas,SouthCarolina,923
Arkansas,SouthDakota,234
Arkansas,Tennessee,4040
Arkansas,Texas,16572
Arkansas,Utah,441
Arkansas,Virginia,1315
Arkansas,Vermont,44
Arkansas,Washington,1616
Arkansas,Wisconsin,1451
Arkansas,WestVirginia,198
Arkansas,Wyoming,186
Arizona,Alaska,1979
Arizona,Alabama,1581
Arizona,Arkansas,1700
Arizona,California,66706
Arizona,Colorado,19683
Arizona,Connecticut,2153
Arizona,DistrictOfColumbia,309
Arizona,Delaware,541
Arizona,Florida,11865
Arizona,Georgia,4864
Arizona,Hawaii,1824
Arizona,Iowa,4917
Arizona,Idaho,3697
Arizona,Illinois,25974
Arizona,Indiana,6913
Arizona,Kansas,3387
Arizona,Kentucky,1888
Arizona,Louisiana,1165
Arizona,Massachusetts,3228
Arizona,Maryland,3208
Arizona,Maine,962
Arizona,Michigan,10529
Arizona,Minnesota,9150
Arizona,Missouri,5608
Arizona,Mississippi,716
Arizona,Montana,2617
Arizona,NorthCarolina,4472
Arizona,NorthDakota,1975
Arizona,Nebraska,3078
Arizona,NewHampshire,980
Arizona,NewJersey,4835
Arizona,NewMexico,6655
Arizona,Nevada,8830
Arizona,NewYork,9157
Arizona,Ohio,8399
Arizona,Oklahoma,2273
Arizona,Oregon,14060
Arizona,Pennsylvania,6388
Arizona,RhodeIsland,500
Arizona,SouthCarolina,2449
Arizona,SouthDakota,1801
Arizona,Tennessee,3210
Arizona,Texas,17752
Arizona,Utah,5389
Arizona,Virginia,5290
Arizona,Vermont,491
Arizona,Washington,24683
Arizona,Wisconsin,10875
Arizona,WestVirginia,498
Arizona,Wyoming,1410
California,Alaska,1444
California,Alabama,2355
California,Arkansas,2324
California,Arizona,26613
California,Colorado,16118
California,Connecticut,5044
California,DistrictOfColumbia,2811
California,Delaware,964
California,Florida,25131
California,Georgia,11649
California,Hawaii,6492
California,Iowa,2736
California,Idaho,3343
California,Illinois,22926
California,Indiana,6273
California,Kansas,2932
California,Kentucky,2743
California,Louisiana,2833
California,Massachusetts,12704
California,Maryland,10049
California,Maine,1123
California,Michigan,10791
California,Minnesota,5222
California,Missouri,6549
California,Mississippi,1259
California,Montana,1788
California,NorthCarolina,9327
California,NorthDakota,558
California,Nebraska,1935
California,NewHampshire,1247
California,NewJersey,13258
California,NewMexico,4126
California,Nevada,19915
California,NewYork,35077
California,Ohio,11059
California,Oklahoma,3067
California,Oregon,23489
California,Pennsylvania,11631
California,RhodeIsland,1294
California,SouthCarolina,3831
California,SouthDakota,714
California,Tennessee,5193
California,Texas,32136
California,Utah,5518
California,Virginia,14671
California,Vermont,743
California,Washington,28315
California,Wisconsin,7042
California,WestVirginia,608
California,Wyoming,567
Colorado,Alaska,1249
Colorado,Alabama,2087
Colorado,Arkansas,1924
Colorado,Arizona,13024
Colorado,California,26161
Colorado,Connecticut,2151
Colorado,DistrictOfColumbia,890
Colorado,Delaware,477
Colorado,Florida,19747
Colorado,Georgia,7062
Colorado,Hawaii,1556
Colorado,Iowa,4219
Colorado,Idaho,1503
Colorado,Illinois,15697
Colorado,Indiana,5245
Colorado,Kansas,5961
Colorado,Kentucky,2153
Colorado,Louisiana,2213
Colorado,Massachusetts,3815
Colorado,Maryland,4657
Colorado,Maine,642
Colorado,Michigan,5287
Colorado,Minnesota,4120
Colorado,Missouri,6364
Colorado,Mississippi,926
Colorado,Montana,1786
Colorado,NorthCarolina,6483
Colorado,NorthDakota,1146
Colorado,Nebraska,3879
Colorado,NewHampshire,829
Colorado,NewJersey,4535
Colorado,NewMexico,5794
Colorado,Nevada,3944
Colorado,NewYork,9098
Colorado,Ohio,6648
Colorado,Oklahoma,4059
Colorado,Oregon,5565
Colorado,Pennsylvania,6157
Colorado,RhodeIsland,377
Colorado,SouthCarolina,2885
Colorado,SouthDakota,1511
Colorado,Tennessee,4031
Colorado,Texas,31664
Colorado,Utah,3086
Colorado,Virginia,7912
Colorado,Vermont,562
Colorado,Washington,7465
Colorado,Wisconsin,5884
Colorado,WestVirginia,520
Colorado,Wyoming,2654
Connecticut,Alaska,70
Connecticut,Alabama,267
Connecticut,Arkansas,151
Connecticut,Arizona,1180
Connecticut,California,3053
Connecticut,Colorado,1043
Connecticut,DistrictOfColumbia,324
Connecticut,Delaware,260
Connecticut,Florida,10682
Connecticut,Georgia,1713
Connecticut,Hawaii,222
Connecticut,Iowa,180
Connecticut,Idaho,94
Connecticut,Illinois,1618
Connecticut,Indiana,580
Connecticut,Kansas,240
Connecticut,Kentucky,334
Connecticut,Louisiana,287
Connecticut,Massachusetts,11806
Connecticut,Maryland,1594
Connecticut,Maine,998
Connecticut,Michigan,911
Connecticut,Minnesota,337
Connecticut,Missouri,413
Connecticut,Mississippi,109
Connecticut,Montana,74
Connecticut,NorthCarolina,2422
Connecticut,NorthDakota,43
Connecticut,Nebraska,120
Connecticut,NewHampshire,1158
Connecticut,NewJersey,5195
Connecticut,NewMexico,222
Connecticut,Nevada,331
Connecticut,NewYork,35305
Connecticut,Ohio,1183
Connecticut,Oklahoma,209
Connecticut,Oregon,507
Connecticut,Pennsylvania,2821
Connecticut,RhodeIsland,3683
Connecticut,SouthCarolina,1663
Connecticut,SouthDakota,39
Connecticut,Tennessee,631
Connecticut,Texas,2413
Connecticut,Utah,194
Connecticut,Virginia,2185
Connecticut,Vermont,745
Connecticut,Washington,883
Connecticut,Wisconsin,493
Connecticut,WestVirginia,103
Connecticut,Wyoming,56
DistrictOfColumbia,Alaska,46
DistrictOfColumbia,Alabama,187
DistrictOfColumbia,Arkansas,74
DistrictOfColumbia,Arizona,283
DistrictOfColumbia,California,1568
DistrictOfColumbia,Colorado,441
DistrictOfColumbia,Connecticut,548
DistrictOfColumbia,Delaware,146
DistrictOfColumbia,Florida,1864
DistrictOfColumbia,Georgia,1114
DistrictOfColumbia,Hawaii,112
DistrictOfColumbia,Iowa,136
DistrictOfColumbia,Idaho,24
DistrictOfColumbia,Illinois,1032
DistrictOfColumbia,Indiana,310
DistrictOfColumbia,Kansas,134
DistrictOfColumbia,Kentucky,143
DistrictOfColumbia,Louisiana,191
DistrictOfColumbia,Massachusetts,1315
DistrictOfColumbia,Maryland,10856
DistrictOfColumbia,Maine,110
DistrictOfColumbia,Michigan,584
DistrictOfColumbia,Minnesota,201
DistrictOfColumbia,Missouri,288
DistrictOfColumbia,Mississippi,63
DistrictOfColumbia,Montana,39
DistrictOfColumbia,NorthCarolina,1234
DistrictOfColumbia,NorthDakota,18
DistrictOfColumbia,Nebraska,70
DistrictOfColumbia,NewHampshire,94
DistrictOfColumbia,NewJersey,1051
DistrictOfColumbia,NewMexico,116
DistrictOfColumbia,Nevada,132
DistrictOfColumbia,NewYork,3222
DistrictOfColumbia,Ohio,728
DistrictOfColumbia,Oklahoma,101
DistrictOfColumbia,Oregon,252
DistrictOfColumbia,Pennsylvania,1366
DistrictOfColumbia,RhodeIsland,113
DistrictOfColumbia,SouthCarolina,468
DistrictOfColumbia,SouthDakota,21
DistrictOfColumbia,Tennessee,361
DistrictOfColumbia,Texas,1401
DistrictOfColumbia,Utah,55
DistrictOfColumbia,Virginia,7447
DistrictOfColumbia,Vermont,100
DistrictOfColumbia,Washington,506
DistrictOfColumbia,Wisconsin,388
DistrictOfColumbia,WestVirginia,98
DistrictOfColumbia,Wyoming,15
Delaware,Alaska,77
Delaware,Alabama,167
Delaware,Arkansas,103
Delaware,Arizona,433
Delaware,California,724
Delaware,Colorado,356
Delaware,Connecticut,857
Delaware,DistrictOfColumbia,397
Delaware,Florida,2861
Delaware,Georgia,815
Delaware,Hawaii,66
Delaware,Iowa,87
Delaware,Idaho,37
Delaware,Illinois,485
Delaware,Indiana,230
Delaware,Kansas,98
Delaware,Kentucky,165
Delaware,Louisiana,107
Delaware,Massachusetts,608
Delaware,Maryland,14069
Delaware,Maine,155
Delaware,Michigan,298
Delaware,Minnesota,90
Delaware,Missouri,190
Delaware,Mississippi,103
Delaware,Montana,23
Delaware,NorthCarolina,1390
Delaware,NorthDakota,22
Delaware,Nebraska,38
Delaware,NewHampshire,156
Delaware,NewJersey,9893
Delaware,NewMexico,85
Delaware,Nevada,198
Delaware,NewYork,5738
